Date,Open,High,Low,Close,Adj. Close,Volume
"Jul 16, 2020",48,48.35,46.9,48.1,46.69,22261317
"Jul 17, 2020",48.25,49.7,48.05,49.4,47.96,23121971
"Jul 20, 2020",49.45,50.3,48.4,48.65,47.23,33226925
"Jul 21, 2020",49.45,49.85,48.7,49.4,47.96,26865913
"Jul 22, 2020",49.5,49.95,48.35,48.7,47.28,27424578
"Jul 23, 2020",48.9,49.65,48.5,49.25,47.81,23205494
"Jul 24, 2020",48.6,49.1,47.7,48.6,47.18,21487345
"Jul 27, 2020",48.6,48.6,46.55,46.65,45.29,25743409
"Jul 28, 2020",46.8,47.25,45.95,46.8,45.43,20236612
"Jul 29, 2020",47,48.65,46.85,47.35,45.97,32645844
"Jul 30, 2020",47.7,47.9,45.7,45.95,44.61,24738261
"Jul 31, 2020",46,47.2,45.45,46.8,45.43,31803669
"Aug 03, 2020",46.45,47.5,46.2,46.85,45.48,20459628
"Aug 04, 2020",47,47.2,45.9,46.5,45.14,24686318
"Aug 05, 2020",46.7,47.45,46.25,46.35,45,25598777
"Aug 06, 2020",46.8,47.05,45.9,46.25,44.9,25763344
"Aug 07, 2020",46.4,48.85,46.1,48.35,46.94,37146011
"Aug 10, 2020",48.95,49.25,47.9,48.55,47.13,28220281
"Aug 11, 2020",47,48.4,46.7,47.1,45.72,36464567
"Aug 12, 2020",47.6,49.9,47.2,48.6,47.18,73911653
"Aug 13, 2020",48.8,49,47.8,48.1,46.69,21610816
"Aug 14, 2020",48.5,48.5,45.8,46.1,44.75,40561013
"Aug 17, 2020",46.7,46.75,45.65,46.15,44.8,26149211
"Aug 18, 2020",46.4,46.65,45.65,46.5,45.14,34889012
"Aug 19, 2020",46.7,47.75,46.6,47.6,46.21,27392535
"Aug 20, 2020",47.15,48,46.4,47.45,46.06,22310955
"Aug 21, 2020",47.95,48.85,47.7,48.35,46.94,22911875
"Aug 24, 2020",48.7,48.8,47.5,48.35,46.94,39209021
"Aug 25, 2020",48.6,49.5,48.45,48.7,47.28,42066104
"Aug 26, 2020",48.55,49.1,48.15,48.45,47.03,24376702
"Aug 27, 2020",48.8,49.5,48.55,48.7,47.28,34037234
"Aug 28, 2020",49.05,52.2,48.9,51.6,50.09,101654516
"Aug 31, 2020",53.5,53.95,48.05,48.95,47.52,54488989
"Sep 01, 2020",49.5,49.8,46.85,47.55,46.16,43888630
"Sep 02, 2020",47.8,48.25,46.7,47.25,45.87,32628864
"Sep 03, 2020",47.8,47.95,47.05,47.3,45.92,20869725
"Sep 04, 2020",46.7,47.05,45.75,45.9,44.56,37393468
"Sep 07, 2020",46,46.5,45,46.2,44.85,30300060
"Sep 08, 2020",46.3,46.45,45.05,45.25,43.93,26695514
"Sep 09, 2020",44.8,44.8,43.8,44.35,43.05,19912040
"Sep 10, 2020",44.8,45.8,44.6,45.6,44.27,17528590
"Sep 11, 2020",45.5,46.1,45.3,45.95,44.61,13133617
"Sep 14, 2020",46.15,46.65,46,46.15,44.8,15548134
"Sep 15, 2020",46.25,46.7,45.65,46.55,45.19,12525341
"Sep 16, 2020",46.55,46.7,45.85,46.45,45.09,10517836
"Sep 17, 2020",45.8,46.3,45.5,45.6,44.27,12133041
"Sep 18, 2020",45.85,45.9,44.9,45.05,43.73,14227945
